LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION DATE
-98.2512474,28.472577,1,4326,6/17/2008
-101.1676025,29.6892458,1,4326,6/17/2008
-99.5253181,32.6158096,1,4326,6/18/2008
-99.1474915,26.5839986,1,4326,6/18/2008
-103.168,40.853,1,4326,6/19/2008
-97.3196411,25.9543404,1,4326,6/19/2008
-97.2868216,25.9402456,1,4326,6/19/2008
-110.1408997,31.5478992,1,4326,6/20/2008
-97.506964,28.982579,1,4326,6/20/2008
-98.2521486,26.405785,1,4326,6/20/2008
-104.0982056,40.469935,1,4326,6/21/2008
-104.3907487,40.6832416,1,4326,6/21/2008
-104.3404627,40.6438845,1,4326,6/21/2008
-101.0159397,33.9732249,1,4326,6/21/2008
-101.94675,35.4194722,1,4326,6/21/2008
-99.2513466,34.0482503,1,4326,6/21/2008
-106.1467695,35.6102086,1,4326,6/22/2008
-99.747963,34.1072564,1,4326,6/22/2008
-99.747963,34.1072564,1,4326,6/22/2008
-97.4975252,26.5038367,1,4326,6/23/2008
-108.8708961,33.2321187,1,4326,6/24/2008
-97.506964,28.982579,1,4326,6/24/2008
-110.51038,31.59073,1,4326,6/25/2008
-104.4338036,40.7007044,1,4326,6/25/2008
-108.8708961,33.2321187,1,4326,6/25/2008
-97.3647237,26.234302,1,4326,6/25/2008
-108.9275444,33.4126723,1,4326,6/26/2008
-100.931139,32.3289899,1,4326,6/26/2008
-102.3787942,40.9379031,1,4326,6/27/2008
-100.931139,32.3289899,1,4326,6/27/2008
-103.0168784,37.1348921,1,4326,6/28/2008
-97.506964,28.982579,1,4326,6/28/2008
-110.5902417,31.7141517,1,4326,6/29/2008
-103.0405998,35.1766146,1,4326,6/29/2008
-101.35375,36.2711111,1,4326,6/29/2008
-97.1491814,25.9835086,1,4326,6/30/2008
-104.1383207,30.5471588,1,4326,6/30/2008
-110.6398129,31.6816066,1,4326,7/1/2008
-110.6398129,31.6816066,1,4326,7/1/2008
-103.6469078,39.2735959,1,4326,7/1/2008
-100.9233069,38.6897305,1,4326,7/1/2008
-97.506964,28.982579,1,4326,7/1/2008
-104.6795368,43.8002169,1,4326,7/1/2008
-103.6469078,39.2735959,1,4326,7/2/2008
-106.1226013,32.807442,1,4326,7/2/2008
-107.1310644,34.0231527,1,4326,7/3/2008
-97.5023746,28.9097983,1,4326,7/3/2008
-110.3183153,31.5061448,1,4326,7/4/2008
-110.3183153,31.5061448,1,4326,7/4/2008
-110.8863696,31.7835694,1,4326,7/4/2008
-97.5474358,26.3806439,1,4326,7/4/2008
-112.6981959,32.9718794,1,4326,7/5/2008
-104.2012024,39.6934508,1,4326,7/5/2008
-104.2012024,39.6934508,1,4326,7/5/2008
-97.1493988,25.9930992,1,4326,7/5/2008
-97.1491814,25.9835086,1,4326,7/5/2008
-97.1491814,25.9835086,1,4326,7/5/2008
-97.506964,28.982579,1,4326,7/5/2008
-98.2426827,29.609375,1,4326,7/5/2008
-99.9137449,29.6096926,1,4326,7/5/2008
-105.007925,34.7594546,1,4326,7/6/2008
-103.5071754,35.2816408,1,4326,7/6/2008
-99.9137449,29.6096926,1,4326,7/6/2008
-109.2290354,32.2731045,1,4326,7/7/2008
-109.1801938,32.0718274,1,4326,7/7/2008
-109.0351653,31.8793558,1,4326,7/8/2008
-103.6231005,40.2186836,1,4326,7/9/2008
-101.8082428,37.1241913,1,4326,7/9/2008
-110.7780647,31.6044167,1,4326,7/10/2008
-110.4345274,31.9470278,1,4326,7/11/2008
-110.4301071,31.9405093,1,4326,7/11/2008
-110.3466807,31.5200639,1,4326,7/11/2008
-110.8873272,31.769332,1,4326,7/11/2008
-104.3998146,33.4512089,1,4326,7/11/2008
-106.8268061,32.3104576,1,4326,7/11/2008
-103.6536884,33.4420419,1,4326,7/11/2008
-99.6625078,29.8334964,1,4326,7/11/2008
-110.0970863,31.4177935,1,4326,7/13/2008
-110.1994019,31.5599995,1,4326,7/13/2008
-110.1994019,31.5599995,1,4326,7/13/2008
-111.9678497,35.1886806,1,4326,7/13/2008
-111.9678497,35.1886806,1,4326,7/13/2008
-111.9678497,35.1886806,1,4326,7/13/2008
-110.9309292,31.8293677,1,4326,7/13/2008
-111.2382513,31.4180254,1,4326,7/13/2008
-111.2382513,31.4180254,1,4326,7/13/2008
-110.8566971,31.4951992,1,4326,7/13/2008
-99.7533488,29.4275812,1,4326,7/13/2008
-110.2855988,31.4421997,1,4326,7/14/2008
-110.3644028,31.4596996,1,4326,7/14/2008
-110.3644028,31.4596996,1,4326,7/14/2008
-110.1408997,31.5478992,1,4326,7/14/2008
-110.2855988,31.4421997,1,4326,7/14/2008
-110.18,31.6572,1,4326,7/14/2008
-110.9143853,31.8156935,1,4326,7/14/2008
-111.1664135,33.2760884,1,4326,7/15/2008
-110.3644028,31.4596996,1,4326,7/16/2008
-108.827669,33.184794,1,4326,7/16/2008
-103.4670389,29.4917768,1,4326,7/16/2008
-103.2933675,29.2482183,1,4326,7/16/2008
-98.0052567,26.5400086,1,4326,7/16/2008
-110.86575,32.62519,1,4326,7/17/2008
-106.8339944,35.1313161,1,4326,7/17/2008
-97.506964,28.982579,1,4326,7/17/2008
-98.2521486,26.405785,1,4326,7/17/2008
-110.6365728,31.7878465,1,4326,7/18/2008
-97.4183462,26.0057269,1,4326,7/18/2008
-97.4183462,26.0057269,1,4326,7/18/2008
-109.261533,31.3558004,1,4326,7/19/2008
-110.886147,31.739938,1,4326,7/19/2008
-111.1325963,33.2754276,1,4326,7/19/2008
-103.9972419,37.2494994,1,4326,7/19/2008
-97.506964,28.982579,1,4326,7/19/2008
-110.1994019,31.5599995,1,4326,7/20/2008
-110.1994019,31.5599995,1,4326,7/20/2008
-110.1994019,31.5599995,1,4326,7/20/2008
-103.9972419,37.2494994,1,4326,7/20/2008
-97.3635864,26.1825535,1,4326,7/20/2008
-97.3647237,26.234302,1,4326,7/20/2008
-97.3635864,26.1825535,1,4326,7/20/2008
-110.6844583,32.0080168,1,4326,7/21/2008
-104.0129113,40.8016295,1,4326,7/21/2008
-97.6535761,29.074897,1,4326,7/21/2008
-110.8873272,31.769332,1,4326,7/22/2008
-104.9734211,34.5420554,1,4326,7/22/2008
-102.7194214,33.9796664,1,4326,7/22/2008
-102.4797606,33.902746,1,4326,7/22/2008
-110.6457138,31.6823096,1,4326,7/23/2008
-110.9143853,31.8156935,1,4326,7/24/2008
-110.3466807,31.5200639,1,4326,7/25/2008
-110.3466807,31.5200639,1,4326,7/25/2008
-110.9042358,31.8109161,1,4326,7/25/2008
-110.9580861,31.84325,1,4326,7/25/2008
-110.8863696,31.7835694,1,4326,7/25/2008
-110.8863696,31.7835694,1,4326,7/25/2008
-110.886147,31.739938,1,4326,7/25/2008
-97.4975252,26.5038367,1,4326,7/25/2008
-110.1994019,31.5599995,1,4326,7/26/2008
-110.8863696,31.7835694,1,4326,7/26/2008
-110.6378174,31.6826018,1,4326,7/26/2008
-104.9734211,34.5420554,1,4326,7/26/2008
-104.9734211,34.5420554,1,4326,7/26/2008
-105.8326734,33.8602394,1,4326,7/26/2008
-105.8325005,33.8591549,1,4326,7/26/2008
-105.8325005,33.8591549,1,4326,7/26/2008
-106.5892007,33.9133072,1,4326,7/26/2008
-106.5644646,33.9560334,1,4326,7/26/2008
-106.5644646,33.9560334,1,4326,7/26/2008
-97.506964,28.982579,1,4326,7/26/2008
-101.94675,35.4194722,1,4326,7/26/2008
-110.1994019,31.5599995,1,4326,7/27/2008
-110.2656555,31.5393343,1,4326,7/27/2008
-110.8897305,31.7985158,1,4326,7/27/2008
-110.8897305,31.7985158,1,4326,7/27/2008
-102.3787942,40.9379031,1,4326,7/27/2008
-103.8317871,40.5388515,1,4326,7/27/2008
-97.6535761,29.074897,1,4326,7/27/2008
-104.0627975,30.5335999,1,4326,7/27/2008
-110.886147,31.739938,1,4326,7/28/2008
-110.8566971,31.4951992,1,4326,7/28/2008
-110.8873272,31.769332,1,4326,7/29/2008
-110.8566971,31.4951992,1,4326,7/29/2008
